project_name,download_count,github_url,pypi_url,extensions
boto3,1361970369,https://github.com/boto/boto3,https://pypi.org/project/boto3/,[]
urllib3,1003548631,https://github.com/urllib3/urllib3,https://pypi.org/project/urllib3/,[]
botocore,962447210,https://github.com/boto/botocore,https://pypi.org/project/botocore/,[]
typing-extensions,953528735,https://github.com/python/typing_extensions,https://pypi.org/project/typing-extensions/,[]
certifi,921186638,https://github.com/certifi/python-certifi,https://pypi.org/project/certifi/,[]
requests,912658417,https://github.com/psf/requests,https://pypi.org/project/requests/,[]
aiobotocore,894715478,https://github.com/aio-libs/aiobotocore,https://pypi.org/project/aiobotocore/,[]
idna,871069871,https://github.com/kjd/idna,https://pypi.org/project/idna/,[]
charset-normalizer,859237864,https://github.com/jawah/charset_normalizer,https://pypi.org/project/charset-normalizer/,[]
setuptools,841703139,https://github.com/pypa/setuptools,https://pypi.org/project/setuptools/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
grpcio-status,760752759,,https://pypi.org/project/grpcio-status/,[]
packaging,747202072,https://github.com/pypa/packaging,https://pypi.org/project/packaging/,"[{""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
python-dateutil,646817170,https://github.com/dateutil/dateutil,https://pypi.org/project/python-dateutil/,"[{""type"": ""ctypes"", ""keywords"": [""WinDLL(""]}]"
s3transfer,618578037,https://github.com/boto/s3transfer,https://pypi.org/project/s3transfer/,[]
numpy,609871331,https://github.com/numpy/numpy,https://pypi.org/project/numpy/,"[{""type"": ""SWIG"", ""keywords"": [""%typemap"", ""%module"", ""%include""]}, {""type"": ""CFFI"", ""keywords"": [""FFI("", ""ffi.dlopen("", ""ffi.cdef("", ""ffi.new(""]}, {""type"": ""C/C++ Extensions"", ""keywords"": [""PyModuleDef"", ""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}, {""type"": ""Cython"", ""keywords"": [""ctypedef"", ""cimport""]}, {""type"": ""Boost.Python"", ""keywords"": [""boost/python.hpp""]}]"
six,604555996,https://github.com/benjaminp/six,https://pypi.org/project/six/,[]
cryptography,582216808,https://github.com/pyca/cryptography,https://pypi.org/project/cryptography/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyInit_""]}, {""type"": ""CFFI"", ""keywords"": [""ffi.cdef("", ""FFI(""]}]"
s3fs,575508372,https://github.com/fsspec/s3fs,https://pypi.org/project/s3fs/,[]
pyyaml,551378555,https://github.com/yaml/pyyaml,https://pypi.org/project/pyyaml/,"[{""type"": ""Cython"", ""keywords"": [""ctypedef""]}]"
pydantic,550697674,https://github.com/pydantic/pydantic,https://pypi.org/project/pydantic/,"[{""type"": ""Rust"", ""keywords"": [""#[pyfunction]"", ""#[pyclass]""]}]"
fsspec,539372534,https://github.com/fsspec/filesystem_spec,https://pypi.org/project/fsspec/,[]
cffi,524188065,https://github.com/python-cffi/cffi,https://pypi.org/project/cffi/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyModuleDef"", ""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""CFFI"", ""keywords"": [""ffi.dlopen("", ""ffi.cdef("", ""FFI("", ""ffi.new(""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
pandas,487578297,https://github.com/pandas-dev/pandas,https://pypi.org/project/pandas/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyModuleDef"", ""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}, {""type"": ""Cython"", ""keywords"": [""cpdef"", ""ctypedef"", ""cimport""]}]"
click,474681848,https://github.com/pallets/click,https://pypi.org/project/click/,[]
pycparser,464301268,https://github.com/eliben/pycparser,https://pypi.org/project/pycparser/,[]
pip,461263331,https://github.com/pypa/pip,https://pypi.org/project/pip/,"[{""type"": ""ctypes"", ""keywords"": [""WinDLL("", ""CDLL(""]}, {""type"": ""Cython"", ""keywords"": [""ctypedef""]}]"
pydantic-core,451568463,https://github.com/pydantic/pydantic-core,https://pypi.org/project/pydantic-core/,"[{""type"": ""Rust"", ""keywords"": [""#[pyfunction]"", ""#[pyclass]""]}]"
protobuf,442398230,,https://pypi.org/project/protobuf/,[]
attrs,431367257,https://github.com/python-attrs/attrs,https://pypi.org/project/attrs/,[]
markupsafe,397161994,https://github.com/pallets/markupsafe,https://pypi.org/project/markupsafe/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
h11,393937856,https://github.com/python-hyper/h11,https://pypi.org/project/h11/,[]
anyio,390101348,https://github.com/agronholm/anyio,https://pypi.org/project/anyio/,[]
pygments,388066850,https://github.com/pygments/pygments,https://pypi.org/project/pygments/,"[{""type"": ""SWIG"", ""keywords"": [""%typemap"", ""%include"", ""%module""]}, {""type"": ""Cython"", ""keywords"": [""ctypedef"", ""cpdef""]}]"
jmespath,383258406,https://github.com/jmespath/jmespath.py,https://pypi.org/project/jmespath/,[]
awscli,380090640,https://github.com/aws/aws-cli,https://pypi.org/project/awscli/,[]
rsa,375391791,https://github.com/sybrenstuvel/python-rsa,https://pypi.org/project/rsa/,[]
pytz,373291543,,https://pypi.org/project/pytz/,[]
platformdirs,372260101,https://github.com/tox-dev/platformdirs,https://pypi.org/project/platformdirs/,[]
sniffio,371761016,https://github.com/python-trio/sniffio,https://pypi.org/project/sniffio/,[]
annotated-types,367016809,https://github.com/annotated-types/annotated-types,https://pypi.org/project/annotated-types/,[]
pluggy,361520729,,https://pypi.org/project/pluggy/,[]
jinja2,360268519,https://github.com/pallets/jinja,https://pypi.org/project/jinja2/,[]
importlib-metadata,353562452,https://github.com/python/importlib_metadata,https://pypi.org/project/importlib-metadata/,[]
pyasn1,336140578,https://github.com/pyasn1/pyasn1,https://pypi.org/project/pyasn1/,[]
cachetools,318560101,https://github.com/tkem/cachetools,https://pypi.org/project/cachetools/,[]
wheel,316923667,https://github.com/pypa/wheel,https://pypi.org/project/wheel/,[]
zipp,314296628,https://github.com/jaraco/zipp,https://pypi.org/project/zipp/,[]
tzdata,312612935,https://github.com/python/tzdata,https://pypi.org/project/tzdata/,[]
filelock,304859205,https://github.com/tox-dev/py-filelock,https://pypi.org/project/filelock/,"[{""type"": ""ctypes"", ""keywords"": [""WinDLL(""]}]"
typing-inspection,301633532,https://github.com/pydantic/typing-inspection,https://pypi.org/project/typing-inspection/,[]
google-auth,301467037,https://github.com/googleapis/google-auth-library-python,https://pypi.org/project/google-auth/,"[{""type"": ""ctypes"", ""keywords"": [""CDLL(""]}, {""type"": ""CFFI"", ""keywords"": [""FFI(""]}]"
httpx,297739906,https://github.com/encode/httpx,https://pypi.org/project/httpx/,[]
google-api-core,293198403,https://github.com/googleapis/python-api-core,https://pypi.org/project/google-api-core/,[]
httpcore,292102595,https://github.com/encode/httpcore,https://pypi.org/project/httpcore/,[]
pytest,290263197,https://github.com/pytest-dev/pytest,https://pypi.org/project/pytest/,[]
colorama,289727595,https://github.com/tartley/colorama,https://pypi.org/project/colorama/,[]
pyjwt,283561179,https://github.com/jpadilla/pyjwt,https://pypi.org/project/pyjwt/,[]
scipy,280925226,https://github.com/scipy/scipy,https://pypi.org/project/scipy/,"[{""type"": ""CFFI"", ""keywords"": [""FFI("", ""ffi.dlopen("", ""ffi.cdef("", ""ffi.new(""]}, {""type"": ""C/C++ Extensions"", ""keywords"": [""PyModuleDef"", ""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""Boost.Python"", ""keywords"": [""boost/python.hpp""]}, {""type"": ""PyBind11"", ""keywords"": [""PYBIND11_MODULE"", ""pybind11/pybind11.h""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}, {""type"": ""Cython"", ""keywords"": [""cpdef"", ""ctypedef"", ""cimport""]}]"
iniconfig,275665427,https://github.com/pytest-dev/iniconfig,https://pypi.org/project/iniconfig/,[]
pyasn1-modules,271685179,https://github.com/pyasn1/pyasn1-modules,https://pypi.org/project/pyasn1-modules/,[]
aiohttp,269510032,https://github.com/aio-libs/aiohttp,https://pypi.org/project/aiohttp/,"[{""type"": ""Cython"", ""keywords"": [""cimport"", ""cpdef"", ""ctypedef""]}]"
rich,265862713,https://github.com/Textualize/rich,https://pypi.org/project/rich/,[]
jsonschema,265281149,https://github.com/python-jsonschema/jsonschema,https://pypi.org/project/jsonschema/,[]
python-dotenv,258207120,https://github.com/theskumar/python-dotenv,https://pypi.org/project/python-dotenv/,[]
googleapis-common-protos,258124233,https://github.com/googleapis/google-cloud-python,https://pypi.org/project/googleapis-common-protos/,[]
multidict,257517830,https://github.com/aio-libs/multidict,https://pypi.org/project/multidict/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
yarl,257277088,https://github.com/aio-libs/yarl,https://pypi.org/project/yarl/,"[{""type"": ""Cython"", ""keywords"": [""cimport""]}]"
virtualenv,252120824,https://github.com/pypa/virtualenv,https://pypi.org/project/virtualenv/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
tqdm,250376809,https://github.com/tqdm/tqdm,https://pypi.org/project/tqdm/,[]
markdown-it-py,248912857,https://github.com/executablebooks/markdown-it-py,https://pypi.org/project/markdown-it-py/,[]
wrapt,248038045,https://github.com/GrahamDumpleton/wrapt,https://pypi.org/project/wrapt/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
tomli,247330031,https://github.com/hukkin/tomli,https://pypi.org/project/tomli/,[]
pyarrow,245380333,https://github.com/apache/arrow,https://pypi.org/project/pyarrow/,"[{""type"": ""Cython"", ""keywords"": [""ctypedef"", ""cpdef"", ""cimport""]}, {""type"": ""CFFI"", ""keywords"": [""ffi.dlopen("", ""ffi.cdef("", ""FFI("", ""ffi.new(""]}]"
grpcio-tools,244420004,https://github.com/grpc/grpc,https://pypi.org/project/grpcio-tools/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""Cython"", ""keywords"": [""cpdef"", ""ctypedef"", ""cimport""]}]"
frozenlist,240686186,https://github.com/aio-libs/frozenlist,https://pypi.org/project/frozenlist/,"[{""type"": ""Cython"", ""keywords"": [""cimport""]}]"
mdurl,240082345,https://github.com/executablebooks/mdurl,https://pypi.org/project/mdurl/,[]
yandexcloud,239845914,https://github.com/yandex-cloud/python-sdk,https://pypi.org/project/yandexcloud/,[]
psutil,237637494,https://github.com/giampaolo/psutil,https://pypi.org/project/psutil/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyModuleDef"", ""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL("", ""WinDLL(""]}]"
pathspec,235917691,https://github.com/cpburnz/python-pathspec,https://pypi.org/project/pathspec/,[]
sqlalchemy,235169227,https://github.com/sqlalchemy/sqlalchemy,https://pypi.org/project/sqlalchemy/,"[{""type"": ""Cython"", ""keywords"": [""cimport"", ""cpdef""]}, {""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC""]}]"
pillow,234134662,https://github.com/python-pillow/Pillow,https://pypi.org/project/pillow/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
requests-oauthlib,233113952,https://github.com/requests/requests-oauthlib,https://pypi.org/project/requests-oauthlib/,[]
aiosignal,232804188,https://github.com/aio-libs/aiosignal,https://pypi.org/project/aiosignal/,[]
rpds-py,231327145,https://github.com/crate-py/rpds,https://pypi.org/project/rpds-py/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyInit_""]}]"
starlette,231124154,https://github.com/Kludex/starlette,https://pypi.org/project/starlette/,[]
greenlet,229802801,https://github.com/python-greenlet/greenlet,https://pypi.org/project/greenlet/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
propcache,227993570,https://github.com/aio-libs/propcache,https://pypi.org/project/propcache/,"[{""type"": ""Cython"", ""keywords"": [""cimport""]}]"
referencing,227149906,https://github.com/python-jsonschema/referencing,https://pypi.org/project/referencing/,[]
grpcio,224683940,https://github.com/grpc/grpc,https://pypi.org/project/grpcio/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyInit_"", ""PyMODINIT_FUNC""]}, {""type"": ""Cython"", ""keywords"": [""cpdef"", ""ctypedef"", ""cimport""]}]"
jsonschema-specifications,220069824,https://github.com/python-jsonschema/jsonschema-specifications,https://pypi.org/project/jsonschema-specifications/,[]
uvicorn,219916511,https://github.com/Kludex/uvicorn,https://pypi.org/project/uvicorn/,[]
pyparsing,214929250,https://github.com/pyparsing/pyparsing,https://pypi.org/project/pyparsing/,"[{""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
opentelemetry-sdk,214147740,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-sdk/,[]
fastapi,214110612,https://github.com/fastapi/fastapi,https://pypi.org/project/fastapi/,[]
opentelemetry-proto,211112873,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-proto/,[]
google-genai,205827111,https://github.com/googleapis/python-genai,https://pypi.org/project/google-genai/,[]
lxml,204461476,https://github.com/lxml/lxml,https://pypi.org/project/lxml/,"[{""type"": ""Cython"", ""keywords"": [""cimport"", ""cpdef"", ""ctypedef""]}, {""type"": ""ctypes"", ""keywords"": [""CDLL(""]}]"
aiohappyeyeballs,203471598,https://github.com/aio-libs/aiohappyeyeballs,https://pypi.org/project/aiohappyeyeballs/,[]
oauthlib,202441612,https://github.com/oauthlib/oauthlib,https://pypi.org/project/oauthlib/,[]
tomlkit,200824237,https://github.com/sdispater/tomlkit,https://pypi.org/project/tomlkit/,[]
openpyxl,198672120,,https://pypi.org/project/openpyxl/,[]
et-xmlfile,198085765,,https://pypi.org/project/et-xmlfile/,[]
beautifulsoup4,195900543,,https://pypi.org/project/beautifulsoup4/,[]
trove-classifiers,195301715,https://github.com/pypa/trove-classifiers,https://pypi.org/project/trove-classifiers/,[]
soupsieve,193204790,https://github.com/facelessuser/soupsieve,https://pypi.org/project/soupsieve/,[]
docutils,188145952,,https://pypi.org/project/docutils/,[]
pyopenssl,185546648,https://github.com/pyca/pyopenssl,https://pypi.org/project/pyopenssl/,"[{""type"": ""CFFI"", ""keywords"": [""ffi.new(""]}]"
scikit-learn,184779617,https://github.com/scikit-learn/scikit-learn,https://pypi.org/project/scikit-learn/,"[{""type"": ""Cython"", ""keywords"": [""cimport"", ""cpdef"", ""ctypedef""]}, {""type"": ""ctypes"", ""keywords"": [""WinDLL(""]}]"
opentelemetry-exporter-otlp-proto-http,183436934,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-exporter-otlp-proto-http/,[]
distlib,182261860,https://github.com/pypa/distlib,https://pypi.org/project/distlib/,"[{""type"": ""C/C++ Extensions"", ""keywords"": [""PyMODINIT_FUNC"", ""PyInit_"", ""PyModuleDef""]}]"
requests-toolbelt,181303969,https://github.com/requests/toolbelt,https://pypi.org/project/requests-toolbelt/,[]
exceptiongroup,176809209,https://github.com/agronholm/exceptiongroup,https://pypi.org/project/exceptiongroup/,[]
opentelemetry-exporter-otlp-proto-grpc,176429311,https://github.com/open-telemetry/opentelemetry-python,https://pypi.org/project/opentelemetry-exporter-otlp-proto-grpc/,[]
